category_id,level,entity_type,name_en,name_zh,parent_id
DOS-L3-07,L3,Dosed_Material,"Acids, bases, salts & electrolytes",酸碱盐与电解质,
DOS-L3-08,L3,Dosed_Material,"Solvents, gases & media",溶剂气体与介质,
DOS-L3-09,L3,Dosed_Material,Carbon & nutrient sources,碳源与营养源,
DOS-L3-10,L3,Dosed_Material,Metals & elements,金属与元素,
DOS-L3-11,L3,Dosed_Material,General terms,统称,
DOS-L3-12,L3,Dosed_Material,Out of domain,领域外,
DOS-L2-001,L2,Dosed_Material,Mineral & framework adsorbents,矿物与骨架吸附剂,DOS-L3-01
DOS-L2-002,L2,Dosed_Material,Photocatalysts,光催化剂,DOS-L3-01
DOS-L2-003,L2,Dosed_Material,Carbon-based adsorbents,碳基吸附剂,DOS-L3-01
DOS-L2-004,L2,Dosed_Material,Noble-metal & metal catalysts,贵金属与金属催化剂,DOS-L3-01
DOS-L2-005,L2,Dosed_Material,Natural polymers,天然高分子,DOS-L3-02
DOS-L2-006,L2,Dosed_Material,Synthetic polymers & hydrogels,合成高分子与水凝胶,DOS-L3-02
DOS-L2-007,L2,Dosed_Material,Enzymes & microbial agents,酶与微生物制剂,DOS-L3-02
DOS-L2-008,L2,Dosed_Material,Nanoparticles,纳米颗粒,DOS-L3-03
DOS-L2-009,L2,Dosed_Material,Zero-valent and nanoscale iron,零价与纳米铁,DOS-L3-03
DOS-L2-010,L2,Dosed_Material,Minerals & building materials,矿物与建材,DOS-L3-04
DOS-L2-011,L2,Dosed_Material,Organic solid waste & compost,有机固废与堆肥,DOS-L3-04
DOS-L2-012,L2,Dosed_Material,Ozone & chlorine-based agents,臭氧与氯系,DOS-L3-05
DOS-L2-013,L2,Dosed_Material,Peroxides & persulfates,过氧与过硫酸盐,DOS-L3-05
DOS-L2-014,L2,Dosed_Material,High-valent metal oxidants,高价金属氧化剂,DOS-L3-05
DOS-L2-015,L2,Dosed_Material,Coagulants,混凝剂,DOS-L3-06
DOS-L2-016,L2,Dosed_Material,Flocculants & conditioners,絮凝剂与调理剂,DOS-L3-06
DOS-L2-017,L2,Dosed_Material,Salts & electrolytes,盐与电解质,DOS-L3-07
DOS-L2-018,L2,Dosed_Material,Bases & lime,碱与石灰,DOS-L3-07
DOS-L2-019,L2,Dosed_Material,Acids,酸,DOS-L3-07
DOS-L2-020,L2,Dosed_Material,Solvents & surfactants,溶剂与表面活性剂,DOS-L3-08
DOS-L2-021,L2,Dosed_Material,Gases,气体,DOS-L3-08
DOS-L2-022,L2,Dosed_Material,Water & aqueous media,水与水基介质,DOS-L3-08
DOS-L2-023,L2,Dosed_Material,External carbon sources,外加碳源,DOS-L3-09
DOS-L2-024,L2,Dosed_Material,Nitrogen & phosphorus nutrient sources,氮磷营养源,DOS-L3-09
DOS-L2-025,L2,Dosed_Material,Metals & metal salts,金属与金属盐,DOS-L3-10
DOS-L2-026,L2,Dosed_Material,General material terms,材料统称,DOS-L3-11
DOS-L2-027,L2,Dosed_Material,Pharmaceuticals & nutritional supplements,医药与营养补充,DOS-L3-12
DOS-L2-028,L2,Dosed_Material,Plant hormones & agrochemicals,植物激素与农用,DOS-L3-12
